ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
86,,is it true that his passion been always the study of electricity,yes,,easy,S09_set4_a10,Alessandro_Volta
87,,was henri becquerel a french physicist,yes,easy,easy,S09_set4_a9,Henri_Becquerel
88,Nikola_Tesla,who was born precisely at midnight during an electrical storm  to a serbian family in the village of smiljan near gospiä  in the lika region of the croatian krajina in military frontier  part of the austrian empire   in the presentday croatia,nikola tesla,,easy,S08_set4_a3,
89,,on average are cougar males heavier than females,on average cougar males are heavier than females,hard,hard,S10_set1_a2,Cougar
90,duck,is a drake a male,yes,easy,medium,S08_set1_a10,
91,Calvin_Coolidge,why did coolidge not attend law school,cost,hard,too hard,S08_set3_a9,
92,,when was newtons date of birth recorded,christmas day decembeer 25 1642,medium,medium,S09_set4_a1,Isaac_Newton
93,,what is a violin called informally,fiddle,medium,medium,S10_set2_a2,Violin
94,,what is the faraday effect,the plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving,medium,hard,S10_set4_a7,Michael_Faraday
95,,what is ottawas population,1190982,medium,medium,S09_set3_a5,Ottawa
96,duck,are ducks in the arctic northern hemisphere migratory,yes,easy,easy,S08_set1_a10,
97,,was arabic a major vehicle of culture in europe,yes,easy,easy,S10_set5_a3,Arabic_language
98,,can turtles spend all their time underwater,no,hard,too hard,S09_set1_a9,Turtle
99,James_Monroe,what is monroes fathers name,spence monroe,medium,medium,S08_set3_a2,
100,,what notable people have been named santiago,benito santiago hugo santiago joey santiago liliana santiago rafael santiago maria santiago caballero santiago cabrera james son of zebedee,hard,hard,S09_set3_a6,Santiago
101,Uruguay,does uruguay have cold summers,no,easy,medium,S08_set2_a9,
102,Grover_Cleveland,what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child while he was a lawyer in buffalo,hard,hard,S08_set3_a6,
103,,how do giraffes defend themselves,with a powerful kick,medium,medium,S09_set1_a5,Giraffe
104,otter,why is the giant otter becoming increasingly rare,poaching habitat loss and the use of mercury in illegal alluvial gold mining,medium,medium,S08_set1_a7,
105,,a year before improving and popularizing the electrophorus what did volta become,a professor of physics at the royal school in como,hard,hard,S10_set4_a10,Alessandro_Volta
106,Woodrow_Wilson,what was scotsirish and scottish,his ancestry,,medium,S08_set3_a8,
107,,what are the two main groups of portuguese dialects,those of brazil and those of the old world,medium,medium,S10_set5_a1,Portuguese_language
108,,what does taipei produce,taipei produces textiles apparel electronics machinery printed materials precision equipment food and beverages,hard,medium,S10_set3_a6,Taipei
109,Gray_Wolf,are a wolfs teeth its main weapons,yes,easy,easy,S08_set1_a6,
110,John_Adams,where is adams buried,united first parish church,medium,medium,S08_set3_a1,
111,,is octopus a common food in mediterranean cuisine as well as portuguese cuisine,yes,,easy,S10_set1_a10,Octopus
112,penguin,how are isabelline penguins different from most penguins,because they are born with brown rather than black plumage,hard,hard,S08_set1_a3,
113,,what are the names of a pianos pedals,piano pedals from left to right una corda sostenuto and damper,hard,medium,S10_set2_a1,Piano
114,Gray_Wolf,does the gray wolf share an ancestry with the domestic dog,yes,easy,easy,S08_set1_a6,
115,,when did the tin whistle first appear,12th century,medium,medium,S09_set2_a5,Flute
116,,what is a resident of melbourne known as,melburnian,medium,medium,S10_set3_a2,Melbourne
117,,did he become professor of experimental physics at the university of pavia,yes,,easy,S09_set4_a10,Alessandro_Volta
118,,when was melbourne officially declared as a city,1847,medium,medium,S10_set3_a2,Melbourne
119,,did albert einstein keep a photograph of faraday on his study wall,yes albert einstein kept a photograph of faraday on his study wall,easy,easy,S10_set4_a7,Michael_Faraday
120,,what are most electric guitar bodies made of,wood,medium,medium,S10_set2_a7,Guitar
121,Henri_Becquerel,what happened with a bromide emulsion in two sheets of very thick black paper,the plate does not become clouded upon being exposed to the sun for a day,,hard,S08_set4_a9,
122,Abraham_Lincoln,when did lincoln begin his political career,1832,medium,medium,S08_set3_a4,
123,John_Adams,did john adams go to harvard,yes,easy,medium,S08_set3_a1,
124,,where did charlesaugustin de coulomb die,paris france,medium,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
125,,how to travel to work from the city to moscow,one way is through the moscowsaint petersburg railway,hard,hard,S10_set3_a10,Saint_Petersburg
126,,does the world conservation union consider the cougar a least concern species,the world conservation union iucn currently lists the cougar as a least concern species,easy,easy,S10_set1_a2,Cougar
127,,when did written vietnamese become the official administrative language,the 20th century,medium,easy,S10_set5_a10,Vietnamese_language
128,,were the citys other names petrograd  1914  1924 and leningrad  1924  1991,yes,,easy,S10_set3_a10,Saint_Petersburg
129,,are fennec foxes endangered,no,easy,easy,S09_set1_a6,Fox
130,,where did he serve two terms,the church of scotland,,hard,S09_set4_a7,Michael_Faraday
131,otter,do sea otters live along the pacific coast,yes,easy,easy,S08_set1_a7,
132,,what are some annual festivals in taipei,some annual festivals include tombsweping day the dragon boat festival the ghost festival and the midautumn festival,medium,medium,S10_set3_a6,Taipei
133,elephant,where was the largest elephant ever recorded shot,the largest elephant ever recorded was shot in angola in 1956,medium,medium,S08_set1_a5,
134,,when is the end of the independence war of bangladesh,december 16 1971,medium,hard,S09_set3_a3,Dhaka
135,,has the terrain in the city been artificially raised,yes,easy,easy,S10_set3_a10,Saint_Petersburg
136,,what is the cause of local earthquakes,the nearby san andreas and hayward faults are responsible for much earthquake activity,hard,hard,S10_set3_a8,San_Francisco
137,Qatar,when did qatar become an independent state,september 3 1971,medium,medium,S08_set2_a3,
138,,what is anders celsiuss last name,celsius,,easy,S09_set4_a5,Anders_Celsius
139,,what types of fins do eels have,eels have dorsal and anal fins fused with a tail fin some also have  pectoral fins,hard,too hard,S10_set1_a8,Eel
140,polar_bear,the bears sometimes what,they sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites,,medium,S08_set1_a4,
141,,are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river,yes,,easy,S09_set3_a5,Ottawa
142,,did bartolomeo cristofori invent the modern piano,yes,easy,medium,S10_set2_a1,Piano
143,,what are a pianos keys generally made of,piano keys are generally made of spruce or basswood,medium,easy,S10_set2_a1,Piano
144,leopard,how much does a leopard weigh,because of ambiguity  2890kg,medium,too hard,S08_set1_a2,
145,,how does poverty in san francisco compare to the nationwide average,san franciscos poverty rate is lower than the national average,hard,hard,S10_set3_a8,San_Francisco
146,turtle,what suborder of turtle draws its head into its shell,pleurodira,hard,hard,S08_set1_a9,
147,,what organs gives a bull ant its good sight,compound eyes,hard,too hard,S10_set1_a1,Ant
148,,what kind of words have been borrowed from chinese,words that denote abstract ideas in the same way european languages borrow form latin and greek,hard,medium,S10_set5_a10,Vietnamese_language
149,,is vietnam independent from france,yes,hard,easy,S10_set5_a10,Vietnamese_language
150,,onefifth of world population speak some form of what,chinese,,medium,S09_set5_a7,Chinese_language
151,,what are the ways to join groups of nouns,two nouns or groups of nouns may be joined in either of two ways definite or indefinite,hard,medium,S10_set5_a8,Turkish_language
152,turtle,can turtles take many years to reach breeding age,yes,,easy,S08_set1_a9,
153,Millard_Fillmore,did webster write i can now sleep of nights,yes,easy,easy,S08_set3_a3,
154,Ulysses_S._Grant,who did president lincoln promote of major general in the regular army effective july 4,grant,,too easy,S08_set3_a5,
155,Indonesia,why did indonesia break off relations with the peoples republic of china,anticommunist purges early in the suharto era,hard,hard,S08_set2_a10,
156,,is malay the official language of iraq,no,easy,hard,S10_set5_a2,Malay_language
157,,at what age can a zebra breed,5 or 6,hard,hard,S10_set1_a9,Zebra
158,Uruguay,how many times has uruguay won the world cup,on two or more occasions,hard,hard,S08_set2_a9,
159,,how long do most foxes live,most foxes live 2 to 3 years but they can survive for up to 10 years or even longer in captivity,medium,medium,S09_set1_a6,Fox
160,Canada,when did canada have one of the largest armed forces in the world,1944,hard,hard,S08_set2_a8,
161,,what is someone who makes violins called,a luthier or simply a violin maker,medium,medium,S09_set2_a2,Violin
162,,how long do most foxes live,2 to 3 years,medium,medium,S09_set1_a6,Fox
163,James_Monroe,what is monroes daughters name,maria hester monroe gouverneur,medium,medium,S08_set3_a2,
164,Qatar,can women legally drive in qatar,yes,easy,easy,S08_set2_a3,
165,,who were the orkhon inscriptions built for,the orkhon inscriptions were erected in honour of the prince kul tigin and his brother emperor bilge khan,hard,hard,S10_set5_a8,Turkish_language
166,otter,what animals are related to otters,weasels polecats and badgers,hard,hard,S08_set1_a7,
167,turtle,are the pleurodira sometimes known as the sidenecked turtles  a reference to the way they withdraw their heads into their shells,yes,,easy,S08_set1_a9,
168,,what festival features fireworks  celebrating the end of the school year,the white nights festival in saint petersburg,medium,hard,S10_set3_a10,Saint_Petersburg
169,penguin,how tall were the tallest prehistoric penguins,180 meters,medium,medium,S08_set1_a3,
170,,what is someone who makes violins called,a luthier,medium,medium,S09_set2_a2,Violin
171,kangaroo,why do kangaroos have a wide bite,because of grazing,hard,hard,S08_set1_a1,
172,penguin,do penguins live almost exclusively in the southern hemisphere,yes,easy,easy,S08_set1_a3,
173,,is the purfling just for decoration,no,easy,easy,S09_set2_a9,Cello
174,,some versions of xylophones have resonators made of what,gourds,medium,medium,S10_set2_a8,Xylophone
175,,what is the middle pedal called on grand pianos,sostenuto pedal,medium,medium,S10_set2_a1,Piano
176,Theodore_Roosevelt,did theodore roosevelt study judo,no clue,easy,easy,S08_set3_a7,
177,leopard,where do leopards often hide their kills,in dense vegetation or in trees,medium,medium,S08_set1_a2,
178,otter,does the giant otter inhabit south africa,no,easy,easy,S08_set1_a7,
179,,did tesla win the nobel prize,no,hard,hard,S10_set4_a3,Nikola_Tesla
180,,what religion did isaac newton follow,he never made a public declaration of his private faith,hard,too hard,S10_set4_a1,Isaac_Newton
181,,is malay an agglutinative language,yes,easy,easy,S10_set5_a2,Malay_language
182,polar_bear,are cubs born in december without awakening the mother,yes,,easy,S08_set1_a4,
183,,did eucalypt forests grow in the place of rainforests,yes the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests,,easy,S10_set1_a3,Koala
184,,is it possible to alter the word order to stress the importance of a certain phrase,yes,easy,easy,S10_set5_a8,Turkish_language
185,Ulysses_S._Grant,did ulysses win the battle of champion hill,yes,easy,easy,S08_set3_a5,
186,Grover_Cleveland,did the team  sedating cleveland with nitrous oxide lrb laughing gas rrb  not remove his upper left jaw and portions of his hard palate,yes,,easy,S08_set3_a6,
187,,how does swedish language counterbalance the absence of cases,the lack of cases in swedish is compensated by a wide variety of prepositions,hard,hard,S10_set5_a9,Swedish_language
188,,are violins a single size,no,easy,hard,S09_set2_a2,Violin
189,turtle,how many suborders are turtles divided into,three,medium,medium,S08_set1_a9,
190,,what is the sustain pedal called,damper pedal,medium,medium,S10_set2_a1,Piano
191,,how do eels begin life,eels begin life as flat and transparent larvae called leptocephali,medium,medium,S10_set1_a8,Eel
192,,when did netwon investigate the refraction of light,from 1670 to 1672,hard,hard,S09_set4_a1,Isaac_Newton
193,,which harmonics can produce any notes above middle c,artificial harmonics,hard,medium,S09_set2_a9,Cello
194,,are testudines the crown group of the superorder chelonia,yes,easy,easy,S09_set1_a9,Turtle
195,,where are lobsters found,in all oceans,medium,medium,S10_set1_a5,Lobster
196,duck,what does the word duck mean,it is the common name for a number of species in the anatidae family of birds,hard,hard,S08_set1_a10,
197,,is a cougar also known as a mountain lion,a cougar is also known as a mountain lion,easy,easy,S10_set1_a2,Cougar
198,,what is the smallest species of fox,the fennec fox is the smallest species of fox,medium,medium,S09_set1_a6,Fox
199,Egypt,what countries border egypt,libya sudan the gaza strip and israel,medium,hard,S08_set2_a6,
200,elephant,why does the phrase elephants never forget have no metaphorical meaning,it refers literally to elephants supposedly having an excellent memory,medium,hard,S08_set1_a5,
201,,how do rock and roll drummers like their drumheads,drums that sound loud and deep,hard,hard,S10_set2_a4,Drum
202,,arent drums often used in music therapy,yes drums are often used in music therapy,,easy,S10_set2_a4,Drum
203,,how many trades can the nse make per day,10 million trades,hard,medium,S10_set3_a9,Nairobi
204,,who showed that avogadros theory held in dilute solutions,jacobus henricus van hoff,medium,medium,S10_set4_a8,Amedeo_Avogadro
205,Romania,how many counties is romania divided into,41,medium,medium,S08_set2_a7,
206,,what are modern guitar strings constructed of,metal polymers or animal or plant product materials,medium,medium,S10_set2_a7,Guitar
207,Anders_Celsius,who determined the dependence of the boiling of water with atmospheric pressure,anders celsius,,medium,S08_set4_a5,
208,,whats the timber of ancient cimbals like disfluent,like that of small handbells or of the notes of the keyed harmonica,medium,hard,S10_set2_a6,Cymbal
209,Calvin_Coolidge,was calvin coolidge the twentyninth vice president,no,easy,easy,S08_set3_a9,
210,,wasnt leonardo da vinci valued as an engineer,no,,medium,S10_set6_a3,Leonardo_da_Vinci
211,,he published a collection of what,observations,,medium,S09_set4_a5,Anders_Celsius
212,beetle,is the adephaga suborder larger than the polyphaga suborder,yes,hard,hard,S08_set1_a8,
213,,which government established portuguese as its third official language in order to meet the requirements to apply for full membership in the cplp,equatorial guinea,hard,medium,S10_set5_a1,Portuguese_language
214,,is english the language most often spoken in montreal,no the language most spoken in montreal is french,easy,hard,S10_set3_a7,Montreal
215,Millard_Fillmore,what did taylor and fillmore disagree upon,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war,hard,medium,S08_set3_a3,
216,Amedeo_Avogadro,is avogadro s number commonly used to compute the results of chemical reactions,yes,,easy,S08_set4_a8,
217,,how old was alessandro volta when he died,82,,hard,S09_set4_a10,Alessandro_Volta
218,Indonesia,which spice originally attracted europeans to indonesia,nutmeg cloves and cubeb pepper,hard,hard,S08_set2_a10,
219,,what were some other names of the city,petrograd leningrad and piter,medium,hard,S10_set3_a10,Saint_Petersburg
220,,was he a member of the royal superior council on public instruction,yes  avogadro was a member of the royal superior council on public instruction,easy,easy,S10_set4_a8,Amedeo_Avogadro
221,,how many of james watts children did not live to adulthood,3,medium,too hard,S09_set4_a2,James_Watt
222,,did faraday have strong maritime interests,yes,hard,easy,S10_set4_a7,Michael_Faraday
223,penguin,what makes penguins so agile in the water,their wings have become flippers,hard,hard,S08_set1_a3,
224,penguin,what is the largest living species of penguin,emperor penguin,medium,medium,S08_set1_a3,
225,Uruguay,is the climate in uruguay temperate,yes,,easy,S08_set2_a9,
226,polar_bear,are studies insufficient evidence for global protection,it is arguable,,medium,S08_set1_a4,
227,John_Adams,did john adams support the stamp act of 1765,no,easy,easy,S08_set3_a1,
228,,does a trumpet have a mellower tone than a cornet,no,hard,hard,S09_set2_a3,Trumpet
229,,is it often called just petersburg rrb and is informally known as piter rrb,yes,,easy,S10_set3_a10,Saint_Petersburg
230,,are books magazines and newspapers written in english available,yes,,easy,S09_set5_a1,English_language
231,leopard,how does the distribution size of the leopard compare to the distribution of other wild cats,the leopard had the largest distribution of any wild cat,hard,hard,S08_set1_a2,
232,Amedeo_Avogadro,was king victor emmanuel iii there to pay homage to avogadro,yes,,easy,S08_set4_a8,
233,James_Monroe,when did monroes presidency expired,march 4 1825,medium,medium,S08_set3_a2,
234,Millard_Fillmore,what did taylor and fillmore disagree upon,slavory issues,hard,easy,S08_set3_a3,
235,penguin,what is the largest living species of penguin,emperor,medium,medium,S08_set1_a3,
236,,why is the giant panda an endangered species,it is threatened by continued habitat loss and by a very low birthrate,hard,hard,S10_set1_a4,Giant_Panda
237,,when does a flute produce sound,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,easy,medium,S10_set2_a5,Flute
238,,what is the official language of north korea,korean,medium,medium,S10_set5_a6,Korean_language
239,duck,what makes it more difficult for a diving duck to fly,they are heavier,hard,hard,S08_set1_a10,
240,,is the nauen plain north of berlin,no the nauen plain stretches to the west of berlin,easy,hard,S10_set3_a1,Berlin
241,polar_bear,how heavy is a male polar bear,most adult males weigh 350650 kg,medium,too hard,S08_set1_a4,
242,penguin,what is tobogganing,when penguins slide on their bellies across the snow,medium,hard,S08_set1_a3,
243,,is lima the capital  and  largest  city  of peru,yes,,easy,S09_set3_a4,Lima
244,,is the current estimated population of nairobi about 6 milion,no,easy,easy,S10_set3_a9,Nairobi
245,,does vietnamese borrow from latin and greek,no vietnamese does not borrow from latin and greek,hard,medium,S10_set5_a10,Vietnamese_language
246,,how is south china linguistically different from north china,south china displays more linguistic diversity,hard,hard,S10_set5_a7,Chinese_language
247,Abraham_Lincoln,how old was lincoln in 1816,seven,medium,medium,S08_set3_a4,
248,,how long have people been making instruments like violins,since ancient times,hard,hard,S09_set2_a2,Violin
249,penguin,how are isabelline penguins different from most penguins,they have brown rather than black plumage,hard,hard,S08_set1_a3,
250,,is french taught in many schools as a primary language along with arabic,yes,,easy,S09_set5_a5,French_language
251,,regarding this topic what did david alfaro siqueiros do,pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in new york city by the mexican muralist david alfaro siqueiros,,easy,S10_set6_a9,Jackson_Pollock
252,,crowds of believers came to see and kiss the thorn all of catholic where acclaimed a miracle,paris,,medium,S10_set4_a4,Blaise_Pascal
253,,how do giraffes defend themselves,with powerful kicks,medium,easy,S09_set1_a5,Giraffe
254,,how does poverty in san francisco compare to the nationwide average,the citys poverty rate is 118 and the number of families in poverty stands at 74 both lower than the national average,hard,hard,S10_set3_a8,San_Francisco
255,Gray_Wolf,do wolves leave their pack,yes,easy,medium,S08_set1_a6,
256,Gray_Wolf,why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,the pack tension rises as each mature wolf feels urged to mate,hard,too hard,S08_set1_a6,
257,polar_bear,is polar bear a mammal,yes,easy,easy,S08_set1_a4,
258,duck,what are some economic uses for duck,meateggsfeathers,medium,medium,S08_set1_a10,
259,,do butterflies carry more pollen than hymenoptera,no butterflies carry less pollen than hymenoptera,hard,hard,S10_set1_a6,Butterfly
260,,is there a way to approximate the age of a turtle,yes,hard,easy,S09_set1_a9,Turtle
261,,when did anders celcius publish his observations on the aurora borealis,1733,easy,medium,S09_set4_a5,Anders_Celsius
262,,for how long has the classification of dialects spoken outside of finland been a controversial issue,since finlands independence in 1917,hard,medium,S10_set5_a5,Finnish_language
263,Anders_Celsius,had his thermometer 100 for the freezing point of water and 0 for the boiling point,yes it had,,easy,S08_set4_a5,
264,,was he a member of the royal superior council on public instruction,yes,easy,easy,S10_set4_a8,Amedeo_Avogadro
265,,do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands,populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands,,easy,S10_set1_a3,Koala
266,Gerald_Ford,what positions ford played in the school football team,center and linebacker,medium,medium,S08_set3_a10,
267,,does the de young museum house the asian art museum,no,hard,hard,S10_set3_a8,San_Francisco
268,,how old was celsius when he died,42,hard,hard,S09_set4_a5,Anders_Celsius
269,,is amedeo avogadro italian,yes,hard,easy,S10_set4_a8,Amedeo_Avogadro
270,Romania,does romania share the same language with moldova,yes,easy,easy,S08_set2_a7,
271,,did he share the nobel prize in physics,yes,,easy,S09_set4_a9,Henri_Becquerel
272,,what food gave isaac newton clues to his theory of gravity,apple,hard,hard,S10_set4_a1,Isaac_Newton
273,,is vietnamese the mother tongue of the vietnamese people,yes,easy,easy,S10_set5_a10,Vietnamese_language
274,otter,an otter s den is what,a holt,,medium,S08_set1_a7,
275,Grover_Cleveland,who did cleveland run against in 1884,james g blaine,hard,hard,S08_set3_a6,
276,otter,does otter give birth or lay egg,give birth,hard,too hard,S08_set1_a7,
277,,are there seven verb paradigms or speech levels in korean,yes,,easy,S10_set5_a6,Korean_language
