Question,Answer,Predictive Answer
is a kangaroo on the australian coat of arms,yes,yes 
is the violin a percussion instrument,yes,yes 
why is the giant panda an endangered species,it is threatened by continued habitat loss and by a very low birthrate,it is not clear 
why does most of egypts population live near the nile,the only arable agricultural land is found there,the city lima 
is eel blood toxic to humans,yes eel blood is toxic to humans,yes 
what trail did lincoln use a farmers almanac in,he defended william duff armstrong,christian 
what is the official religion in the country,islam,islam 
was the bucharest metro only opened in 1979,yes,yes 
what can be augmented with a fourth valve,the flugelhorn,the federalist party 
was he regarded as a mostly reclusive artist,yes he was regarded as a mostly reclusive artist,yes 
had fords wife married before,no,yes 
who is the most popular rock group in finland,cmx,cmx 
which berlin building did architect norman foster remodel in the 1990s,the reichstag building was remodeled by architect norman foster in the 1990s,the reichstag building 
why is copenhagen a regional hub,its strategic location and excellent infrastructure,its tongue is located on the west coast of the united states venezuela and middle zhou 
is french taught in many schools as a primary language along with arabic,yes,yes 
is uruguay located in south america,yes its located in the southeastern part,yes 
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,mixing of the races on social occassions,over 300 languages are spoken in london 
when did coulomb return to paris,in 1759,in many areas wild ducks farmed of any wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
in which place is lyre still played,northeastern parts of africa,from g3 to c8 
for how long has the classification of dialects spoken outside of finland been a controversial issue,since finlands independence in 1917,since ancient times 
do singaporeans enjoy squid,yes,yes 
is it true that he published a collection of 316 observations,yes,yes 
what are the ant colonies that lack queens called,colonies that lack queens are called gamergate colonies,becquerel 
do ants belong to the hymenoptera order,yes,yes 
is rainfall very low,yes,yes 
how many long was lincolns formal education,18 months,18 months 
how many suborders are turtles divided into,three,two 
does every drumhead make the same sound,no,no 
in what year did germany seize tanganyika,1886,pleurodira 
what is the best known story about a swan,the ugly duckling fable,hamsa or hansa 
james watt ranked first among how many people in charles murrays survey of historiometry,229,yes 
when did anders celcius publish his observations on the aurora borealis,1733,alessandro volta improved and popularized the electrophorus in 1775 
do lobsters feel pain,yes,yes 
where is san francisco,san francisco is located on the west coast of the united states at the tip of the san francisco peninsula,san francisco is characterized by a flutist 
what is cause of polar bears skin diseases,mites or other parasites,james 
what do tigers powerfully built legs and shoulders allow tigers to do,they have the ability to pull down prey substantially heavier than themselves,they are food to beetles 
did john adams represent the continental congress in europe,yes,yes 
why does most of egypts population live near the nile,the only arable agricultural land is found there,the city lima 
is nassau county named after a german town,yes,yes 
is the celsius crater on the moon named after him,yes,yes 
does the world conservation union consider the cougar a least concern species,yes,yes 
how long was alessandro volta a professor at the university of pavia,alessandro volta was a professor at the university of pavia for almost 25 years,over two hundred 
does the word violin come from the middle latin word vitula meaning stringed instrument,yes,yes 
how long do most foxes live,2 to 3 years,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
what is the si unit for radioactivity called,the becquerel bq,becquerel 
where is arabic spoken,the middle east and north africa,the volt 
where was avogadro a professor of physics,university of turin,university of turin 
how many species of zebra are there,three,78 million 
can turtles spend all their time underwater,no,no 
whom are guitars made and repaired by,luthiers,yes 
what is the most extensively celebrated holiday,christmas is the most extensively celebrated holiday,pleurodira 
do koalas have a slow metabolism,yes,yes 
where is the violincello held,the violincello is held on the shoulder,on the shoulder 
where do sea otters live,the sea otter lives actually in the sea,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
what is the sustain pedal called,damper pedal,becquerel 
does the portuguese language have its roots in the latin language,yes,yes 
what is the range of lifespans of the octopus,the octopus has a short lifespan,the octopus mouth is at the center point 
have a number of live theatrical plays based on tesla s life been produced and staged worldwide,yes,yes 
which came first the xylophone or the vibraphone,the xylophone,the city lima 
how many occupation zones was germany divided into after the war,germany was divided into four occupation zones after the war,germany 
is the breeze eazy  method sometimes used to teach younger students,yes,yes 
give an example of the ten beta world cities,san trancisco,by their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body 
what foods do pandas eat,bamboo honeys eggs fish yams shrub leaves oranges and bananas,they are food to beetles 
how many strings does a violin usually have,four,six 
is the black color heritable and caused by only one recessive gene locus,yes,yes 
where did wilson attend law school,university of virginia,university of turin 
what is canadas national unemployment rate,in october 2007 canadas national unemployment rate is 59,in 1451 berlin gave up its status as a free hanseatic city 
did the team  sedating cleveland with nitrous oxide lrb laughing gas rrb  not remove his upper left jaw and portions of his hard palate,yes,yes 
how does the government of the peoples republic of china often refer to all divisions of the sinitic languages besides standard mandarin,the government of the peoples republic of china refers to all divisions of the sinitic languages besides standard mandarin as fangyan,the government seeks to increase its gdp contribution to 3 by 2012 
aside from the provincial letters religious influence were they popular as a literary work,yes,yes 
what are the typical features of a tiger country,good cover close to water and plenty of prey,the three heaviest cats in the world are the tiger lion and jaguar 
what is the outer layer of the cuticle made of,the outer layer of the cuticle is made of of a mixture of chitin and specialized proteins,brass tubing bent twice into an oblong shape 
where is the berliner dom located,the berliner dom is located on the spree island across from the site of the berliner stadtschloss and adjacent to the lustgarten,in the smithsonian museum 
when did he vote for democrat james buchanan,1856,elizabeth kortright 
was lincoln chosen as a presidential candidate in 1860,yes,yes 
does the octopus have two eyes,yes the octopus has two eyes,yes 
what is a collective noun for a kangaroo,a mob troop or court,a luthier 
are western flutes simpler than indian flutes,no,no 
how many years after cleveland left office did the us win the spanishamerican war,one,one 
was isaac newton religious,yes he was highly religious though an unorthodox christian,yes he was english 
did he become chief engineer in the department of bridges and highways in 1892,no,no 
do wolves leave their pack,yes,yes 
give an example of the tributary states of the majapahit kingdom in eastern java,malayu is an example of the tributary states of the majapahit kingdom in eastern java,volta 
whare is the name for drums that have a s10_set of wires held across some of all of the drum heads,snares,yes 
what does the voice of a violin depend upon,shape,from g3 to c8 
where was the deepest note of the classical lyre in relation to the players body,it was farthest from the players body,yes 
are lobsters invertebrates,yes,yes 
are there also large populations of german ancestry in mexico,yes,yes 
where did nikola tesla move to in 1880,budapest,volta 
where was millard fillmore born,in a log cabin in summerhill new york,in a log cabin in summerhill new york 
where is irving berlins piano located,in the smithsonian museum,in the smithsonian museum 
what are the three heaviest cats in the world,tiger lion and jaguar,the three heaviest cats in the world are the tiger lion and jaguar 
who were grover clevelands parents,cleveland was born in caldwell new jersey to the reverend richard cleveland and anne neal,no letters survive in which he might have discussed his religious beliefs 
has the flute been dated to prehistoric times,yes,yes 
is there a way to approximate the age of a turtle,yes,yes 
is kuala lumpur in the selangor state,yes,yes 
was pierreauguste renoir born in limoges hautevienne france the child of a working class family,yes,yes 
was alessandro volta taught in public schools,yes,yes 
what languages did tesla speak,serbian czech english french german hungarian italian and latin,pleurodira 
what is an otters den called,holt,a luthier 
when was the first factory opened,1836,on the shoulder 
what was the consitution act formerly called,british north america act,british east india company 
what happened in 1745,the scale was reversed,the volt 
in belgium however is quatrevingts universally used,yes,yes 
is portuguese an official language of several international organizations,yes,yes 
does it have a border with norway,yes,yes 
what happened in the january 15 1882,on january 15 1882 renoir met the composer richard wagner at his home in palermo sicily,pleurodira 
when was he elected sheriff of erire county new york,yes,yes 
where do most people in urban saint petersburg live,apartments,sea otters enhydra lutris live along the pacific coast of north america 
about how many koreans speakers are there,78 million,78 million 
is taipei in a valley,taipei is in the valleys of the keelung and xindian rivers,taipei is in the valleys of the lima metropolitan area 
in what country did fox hunting originate,in the united kingdom,in the white nights festival in saint petersburg 
how many groups are turtles broken down into,two,two 
how many black keys do modern pianos have,36,36 
is the collective form octopus usually reserved for animals consumed for food,yes,yes 
was coulomb born in angoulãªme  france   to a well  to do  family,yes,yes 
do male giraffes have larger horns than female giraffes,yes,yes 
where does air pollution in beijing come from,surrounding cities and provinces,in many areas wild ducks of various species including ducks farmed for pushing struggling prey 
what is the biggest city in finland,the cities of the greater helsinki metropolitan area,the volt 
when was the reunification of vietnam,the reunification of vietnam occurred in 197576,no 
is it the smallest germanspeaking country in the world,yes,yes 
where do sea turtles lay their eggs,holes dug into mud or sand,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
why is the giant panda an endangered species,threatened by habitat loss,the slide down snowy slopes apparently for sheer enjoyment 
was arabic a major vehicle of culture in europe,yes,yes 
was gerald ford the 38th president of the united states,yes,yes 
what are the names of uruguays political parties,partido blanco and partido colorado,pleurodira 
did he build the first practical reflecting telescope,yes,yes 
did old english develop into middle english,yes,yes 
did the us join the league of nations,no,no 
when did isaac newton discover the generalized binomial theorem,in 1665,in 1451 berlin gave up its status as a free hanseatic city 
who was roosevelts presidential hero,lincoln was roosevelts presidential hero,lincoln was roosevelts presidential hero 
when was his house demolished,1874,no 
is it widely considered the most secular nation in latin america,yes,yes 
what do most recognizable international company and largest employer have in common,they are hilti,they are born with brown rather than black plumage 
what is the second biggest factor affecting the sound produced by a drum,the tension at which the drum head is held against the shell of the drum,the largest primarily frenchspeaking city in the western world is paris 
is lima the capital  and  largest  city  of peru,yes,yes 
what is northern californias most widely circulated newspaper,san francisco chronicle,its tongue 
do singaporeans enjoy squid,yes they do,yes 
how can a flutes volume be increased,a flutes volume can be increased by making its resonator and tone holes larger,a flutes volume can be increased by making its resonator and tone holes larger 
to whom was millard fillmore born to,to nathaniel and phoebe millard fillmore,to nathaniel and phoebe millard fillmore 
what do turles use to breathe in the water,papillae,its tongue 
where were immigrants from in the 1800s,ireland,yes 
is otter a kind of mammal,yes,yes 
what is antwerp,antwerp is a city and municipality in belgium,antwerp is a municipality 
what shares land borders with papua new guinea east timor and malaysia,indonesia,pleurodira 
was gellu naum the leader of the surrealist movement in romania,yes,yes 
who asked a nearby local what the creatures were called,captain james cook and naturalist sir joseph banks,british east india company 
were the letters first annotated in 1913 by theos widow johanna van goghbonger,yes,yes 
how many countries in europe are bigger than romania,eleven,eleven 
did volta have a passion for the study of electricity,yes,yes 
was adams the first to introduce a bicameral legislature,yes,yes 
why are sidenecked turtles called sidenecked turtles,the way they withdraw their heads into their shells,because they are born with brown rather than black plumage 
are there a large number of jews living in egypt today,no,no 
what does a citizen use to propose changes to the constitution,plebiscite,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
was ford interred at his presidential museum in grand rapids michigan,yes,yes 
what is the dominant religion in ghana,christian,christian 
what are the names of uruguays political parties,partido colorado and partido blanco,pleurodira 
by 2050 what will the total population of portuguese speakers in the world be,335 million people,yes 
is santiago spanish for st james,yes,yes 
in what year was nairobi founded,1899,a luthier 
is james monrow the fifth president of us,yes,yes 
what are violins made of,different types of wood,brass tubing bent twice into an oblong shape 
can turtles take many years to reach breeding age,yes,yes 
are there many words in malay that use natural gender,no,no 
what is amedeo avogadro,a person,a polar bears skin 
what is the weather like in summer,relatively warm,the largest primarily frenchspeaking 
did nikola tesla use a technique called picture thinking,yes,yes 
was ford the last surviving member of the warren commission,yes,yes 
what kind of piano did irving berlin play,transposing piano,the transposing piano 
when did the first educational works appear for the cello,18th century,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
who suggested lincoln grow a beard,11yearold grace bedell,in many areas wild ducks farmed for much earthquake activity 
is the polar bear the mascot of bowdoin college,yes,yes 
what is the earliest extant transverse flute,it dates from 433 bc,it is also the name of a baseball catcher a film director a guitarist an economist a footballer a dj an actor and james son of zebedee fictional people 
why do penguins tobaggan,it conserves energy while moving quickly,it uses short spikes for pushing struggling prey and other food down its throat 
how many children did grover cleveland have,5,six 
when was the first photgraph of lincoln taken,1846,yes 
how many different names did chinese writings give to the panda,20,20 
why did grant think that war was unjust,he accepted the theory that it was designed to gain land open to slavery,he was strong in biology 
did vietnamese come to predominate politically in 2nd century bc,no chinese came to predominate politically in the 2nd century bc,no 
is it true that he published a collection in 1738,no,no 
did ford get an award called congressmans congressman,yes,no 
is romania a secular state,yes,yes 
where is finland located,northern europe,northern europe 
what was james watts fathers job,his father was a shipwright ship owner and contractor and served as the towns chief baillie,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what is the best physician,time,most adult males weigh 350650 kg 
what did ford receive on april 13 1942,ford received a commission as ensign in the us naval reserve,pleurodira 
what happened in 1764,adams married abigail smith,christian 
during what period was akhenaten a pharaoh,the new kingdom,the federalist party 
what is monroe doctrine,a doctrine declaring us opposition to european interference in the americas,in all oceans 
where was the oldest flute ever discovered found,various parts of germany,in all oceans 
when did volta retire,1819,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
how many years ago was it when volta married the daughter of count ludovico peregrini  teresa  with whom he raised three sons,215,three 
did faraday discover diamagnetism,yes faraday discovered diamagnetism,yes 
what method of locomotion do kangaroos use,hopping,pleurodira 
are kangaroos shy,yes,yes 
is it true that indonesia has vast areas of wilderness,yes,yes 
when was woodrow wilson born,december 28 1856,december 16 1971 
how do turtles chew food,turtles use their jaws to cut and chew food,in many areas wild ducks farmed and released into an oblong shape 
why is the watt named after watt,the watt is named after james watt for his contributions to the development of the steam engine,the slide down snowy slopes apparently for sheer 
is berlin the capital city of germany,yes,yes 
are nationals referred to by the plural  liechtensteiners,yes,yes 
have more than five presidents lived past the age of 90,no,no 
has the name pascal been given to the si unit of pressure,yes,yes 
do chinese and japanese have spaces between words,no chinese and japanese do not have spaces between words,no 
