Question,Answer,Predictive Answer
what is a person that makes or repairs violins called,a luthier or simply a violin maker,a luthier or simply a violin maker 
what is the most common type of trumpet,the b trumpet,the b trumpet 
is vietnamese the official administrative language of vietnam,yes,yes 
like many larger where cities san francisco is a minoritymajority city as nonhispanic whites comprise less than half of the population,us,us 
what is along the citys western border,taipei has the danshui river along its western border,taipei has the danshui river southeast liechtensteins population noting 
is a beetles general anatomy uniform,yes,yes 
are the modern chinese dialects more like a family,yes,yes 
onefifth of world population speak some form of what,chinese,is 
what kinds of changes have larger kangaroos adapted much better to,changes wrought to the australian landscape by humans,changes wrought to the australian landscape by humans 
what is the study of beetles called,coleopterology,bell 
what kinds of coats do wolves have,tough guard hairs that repel water and dirt and a dense waterresistant layer,tough guard hairs that repel water and dirt and a dense waterresistant layer 
who was avogadros wife,felicita mazzé was avogadros wife,felicita mazzé was avogadros wife 
what does era of good feelings refers to,monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the era of good feelings,monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the era of good feelings 
do foxes damage fruit on farms,no,no 
is an official language of canada german,no,no 
does the mother care for the young,no,no 
was grants fatherinlaw a democrat,yup,yup 
why do some people believe that lefthanded people should learn to play guitars as righthanded people do,to standardise the instrument,to standardise the instrument 
has the terrain in the city been artificially raised,yes,yes 
where are the western arabic numerals used,north africa,north africa 
what was the faraday effect first called,diamagnetism,diamagnetism 
did the election of 1800 not become a bitter and volatile battle  with each side expressing extraordinary fear of the other party and its policies,no,no 
when did nikola tesla appear on the cover of time magazine,1931,park 
where is collège des quatrenations located,in montpellier,in montpellier 
did theodore roosevelt study judo,no,no clue 
why is the giant otter becoming increasingly rare,poaching habitat loss and the use of mercury in illegal alluvial gold mining,poaching habitat loss and the use of mercury in illegal alluvial gold mining 
is the xylophone a musical instrument,yes,yes 
where did he serve two terms,the church of scotland,the church of scotland 
what countries border egypt,libya sudan the gaza strip and israel,libya sudan the gaza strip and israel 
did faraday discover diamagnetism,yes,faraday discovered the b trumpet 
when did lincoln first serve as president,march 4 1861,march 4 1861 
when was james monroe appointed to secretary of war,1814,1814 
why is arabic related to islam,arabic is the liturgical language of islam,is 
is an elephants skin tough,yes,on september 3 1971 electric 
what are violins made of,maple ebony sheep gut,brass tubing 
forward erect ears and slightly bristle hackles are a sign of what in wolves,dominance,is 
what do kangaroos use for crawlwalking,its hind feet,its hind feet and their tails 
have two of renoirs paintings sold for more than us0 million,yes any painting sells for more than 0 million though,eel defended water air william duff armstrong 
what is surplus killing,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting 
what part of the cymbal is the bell,the center of a cymbal,the center of a cymbal 
how many state parks are in san francisco,there is only one park managed by the california state park system candlestick point,there are seven with brown rather than black plumage 
what are the most common cymbals,the most common cymbals are the hihats crash splash ride and china,hihats crash splash ride and china 
can polar bears be seen under infrared photography,only their breath and muzzles can be easily seen,adjacent dates 433 conserves energy 
is swahili spoken in mozambique,yes,three 
was pascals earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators the study of fluids and clarified the concepts of pressure and vacuum by generalizing the work of evangelista torricelli,yes,yes 
qatar became an independent sovereign state in what year,on september 3 1971,1868 
is the electric eel a true eel,no the electric eel is not a true eel,no the electric eel is not a true eel 
who also discovered that less than three percent of kangaroos exposed to the virus developed blindness,veterinarians,veterinarians 
how old was anders celsius when he died,42,53 
do scholars rank lincoln among the top three presidents,yes,yes 
where was the largest elephant ever recorded shot,angola,angola 
did faraday construct the ancestor of modern power generators,yes,yes 
can citizens propose changes to the constitution,yes people are allowed to challenge laws,yes people are allowed to challenge laws 
in what year did james travel to lodon to study instrumentmaking,1753,1753 
who is depicted holding the flag in the famous painting of washington crossing the delaware,monroe,monroe 
what is widely used by the lebanese especially for administrative purposes,french,french 
what is henri becquerel,henri becquerel was a famous physicist,henri becquerel 
when did protouralic language arrive in finland,around 1900 bce,around 1900 bce 
was abraham lincoln the first president of the united states,no,no 
what happened in a region not quite 2000 km south of the equator 35 mya,at least one giant penguin,at least one 
what is named after him,the celsius crater on the moon,the celsius crater on the moon 
how did vespoid wasps evolve,from predatory ancestors,is 
was education another area  of service  for faraday,yes,yes 
do penguins have a better than average sense of hearing for birds,yes,yes 
what religion holds majority in melbourne,christianity,christian 
was liechtenstein completed in november 2000,no,no 
does the giant otter inhabit south africa,no,no 
what is the official language of turkey,turkish is the official language of turkey,turkish 
is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage  or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae,it is not even known,it is not even known 
is golden gate park the largest city park,yes,yes 
what does avogadros law state,the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,avogadros 1811 paper was published in french 
where do giant pandas live,sichuan province shaanxi and gansu provinces,sea otters enhydra lutris live along the pacific coast of north america 
what does avogadros law state,avogadros law states that the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,avogadros law states that it waterresistant air border galï½pagos strong educated was islands muddy changes 
where did the xylophone originate,indonesia,indonesia 
may a single female lay from several dozen to several thousand eggs during her lifetime,yes,violincello 
how does swahili time run,swahili time runs from dawn to dusk,is 
is a collision with a vehicle capable of killing a kangaroo,yes,yes 
where is the mouth of an octopus,the mouth of an octopus is at the center point of the arms,the mouth of an octopus is at the center point of the arms 
where are the only surviving giant tortoises,seychelles and galï½pagos islands,seychelles and galï½pagos islands 
had the language already been used as the lingua franca throughout the archipelago since the 15th century,yes,allowing kl grand prix csi 1832 years 117 ursidae 
how old was celsius when he died,42,53 
what does the name kuala lumpur mean,muddy confluence muddy estuary and muddy city,muddy confluence muddy estuary and muddy city 
is san francisco also the financial cultural and transportation center of the larger san francisco bay area a region of 74 million people,yes,yes 
is a kangaroo on the australian coat of arms,yes,yes 
is the violin a percussion instrument,yes,yes 
why is the giant panda an endangered species,it is threatened by continued habitat loss and by a very low birthrate,is 
why does most of egypts population live near the nile,the only arable agricultural land is found there,is 
is eel blood toxic to humans,yes eel blood is toxic to humans,adjacent to uhuru yes air in the water they adjacent are bansuri 
what trail did lincoln use a farmers almanac in,he defended william duff armstrong,he thought it was designed to gain land open woodlands 
what is the official religion in the country,islam,islam 
was the bucharest metro only opened in 1979,yes,yes 
what can be augmented with a fourth valve,the flugelhorn,the flugelhorn 
was he regarded as a mostly reclusive artist,yes he was regarded as a mostly reclusive artist,yes he was regarded as a mostly reclusive artist 
had fords wife married before,no,allowing served 
who is the most popular rock group in finland,cmx,cmx 
which berlin building did architect norman foster remodel in the 1990s,the reichstag building was remodeled by architect norman foster in the 1990s,reichstag building 
why is copenhagen a regional hub,its strategic location and excellent infrastructure,its climate is characterized by uniform temperature and pressure high humidity and abundant rainfall 
is french taught in many schools as a primary language along with arabic,yes,air fake biography based real events that happened in fillmores life 
is uruguay located in south america,yes its located in the southeastern part,its strategic location and excellent infrastructure 
how did newspapers respond to roosevelt inviting brooker t washington to dinner at the white house,mixing of the races on social occassions,is 
when did coulomb return to paris,in 1759,is 
in which place is lyre still played,northeastern parts of africa,northeastern parts of africa 
for how long has the classification of dialects spoken outside of finland been a controversial issue,since finlands independence in 1917,since finlands independence in 1917 
do singaporeans enjoy squid,yes,adjacent 46 cymbals 
is it true that he published a collection of 316 observations,yes,yes 
what are the ant colonies that lack queens called,colonies that lack queens are called gamergate colonies,bell 
do ants belong to the hymenoptera order,yes,adjacent mud sand michelangelo partido 
is rainfall very low,yes,1886 
how many long was lincolns formal education,18 months,18 months 
how many suborders are turtles divided into,three,fortyone 
does every drumhead make the same sound,no,no 
in what year did germany seize tanganyika,1886,germany seized tanganyika in singapore 
what is the best known story about a swan,the ugly duckling fable,the ugly duckling fable 
james watt ranked first among how many people in charles murrays survey of historiometry,229,229 
when did anders celcius publish his observations on the aurora borealis,1733,1733 
do lobsters feel pain,yes,2007 connecticut water dawn butterfly moth mean that adjacent sticks someone 
where is san francisco,san francisco is located on the west coast of the united states at the tip of the san francisco peninsula,san francisco is characterized 
what is cause of polar bears skin diseases,mites or other parasites,pleurodira smithsonian july college adjacent 59 
what do tigers powerfully built legs and shoulders allow tigers to do,they have the ability to pull down prey substantially heavier than themselves,they adjacent are bansuri 
did john adams represent the continental congress in europe,yes,after 7th century bc 
why does most of egypts population live near the nile,the only arable agricultural land is found there,is 
is nassau county named after a german town,yes,yes 
is the celsius crater on the moon named after him,yes,and venu 
does the world conservation union consider the cougar a least concern species,yes,the world conservation union iucn currently lists the cougar as a least concern species 
how long was alessandro volta a professor at the university of pavia,alessandro volta was a professor at the university of pavia for almost 25 years,almost 
does the word violin come from the middle latin word vitula meaning stringed instrument,yes,yes 
how long do most foxes live,2 to 3 years,is 
what is the si unit for radioactivity called,the becquerel bq,becquerel 
where is arabic spoken,the middle east and north africa,the middle east and north africa 
where was avogadro a professor of physics,university of turin,university of turin 
how many species of zebra are there,three,13 
can turtles spend all their time underwater,no,no 
whom are guitars made and repaired by,luthiers,is 
what is the most extensively celebrated holiday,christmas is the most extensively celebrated holiday,christmas is the most extensively celebrated holiday 
do koalas have a slow metabolism,yes,famous waterresistant layer felicita 
where is the violincello held,the violincello is held on the shoulder,on the shoulder 
where do sea otters live,the sea otter lives actually in the sea,sea otters enhydra lutris live along the pacific coast of north america 
what is the sustain pedal called,damper pedal,bell 
does the portuguese language have its roots in the latin language,yes,yes 
what is the range of lifespans of the octopus,the octopus has a short lifespan,octopuses can live along one smithsonian temperature corresponds wilson different water divisions 
have a number of live theatrical plays based on tesla s life been produced and staged worldwide,yes,yes 
which came first the xylophone or the vibraphone,the xylophone,xylophone 
how many occupation zones was germany divided into after the war,germany was divided into four occupation zones after the war,germany 
is the breeze eazy  method sometimes used to teach younger students,yes,yes 
give an example of the ten beta world cities,san trancisco,san trancisco 
what foods do pandas eat,bamboo honeys eggs fish yams shrub leaves oranges and bananas,bamboo smithsonian ability lion jaguar down prey 
how many strings does a violin usually have,four,four 
is the black color heritable and caused by only one recessive gene locus,yes,yes 
where did wilson attend law school,university of virginia,university of virginia 
what is canadas national unemployment rate,in october 2007 canadas national unemployment rate is 59,while as well as flat and transparent larvae called leptocephali 
did the team  sedating cleveland with nitrous oxide lrb laughing gas rrb  not remove his upper left jaw and portions of his hard palate,yes,adjacent christianity scale reversed 
how does the government of the peoples republic of china often refer to all divisions of the sinitic languages besides standard mandarin,the government of the peoples republic of china refers to all divisions of the sinitic languages besides standard mandarin as fangyan,the government seeks to increase its gdp contribution its gdp contribution to 3 by 2012 
aside from the provincial letters religious influence were they popular as a literary work,yes,its hind feet and an agglutinative morphology 
what are the typical features of a tiger country,good cover close to water and plenty of prey,good cover close to water and plenty of prey 
what is the outer layer of the cuticle made of,the outer layer of the cuticle is made of of a mixture of chitin and specialized proteins,brass 
where is the berliner dom located,the berliner dom is located on the spree island across from the site of the berliner stadtschloss and adjacent to the lustgarten,on the shoulder 
when did he vote for democrat james buchanan,1856,park 
was lincoln chosen as a presidential candidate in 1860,yes,yes 
does the octopus have two eyes,yes the octopus has two eyes,the octopus has two eyes with its francisco is characterized 
what is a collective noun for a kangaroo,a mob troop or court,a mob troop court 
are western flutes simpler than indian flutes,no,no 
how many years after cleveland left office did the us win the spanishamerican war,one,one 
was isaac newton religious,yes he was highly religious though an unorthodox christian,it is not clear 
did he become chief engineer in the department of bridges and highways in 1892,no,no 
do wolves leave their pack,yes,they leave their birth pack when they reach sexual maturity 
give an example of the tributary states of the majapahit kingdom in eastern java,malayu is an example of the tributary states of the majapahit kingdom in eastern java,is 
whare is the name for drums that have a s10_set of wires held across some of all of the drum heads,snares,snares 
what does the voice of a violin depend upon,shape,taylor and fillmore disagreed on the slavery issue in the new kingdom 
where was the deepest note of the classical lyre in relation to the players body,it was farthest from the players body,it was farthest from the players body 
are lobsters invertebrates,yes,yes 
are there also large populations of german ancestry in mexico,yes,yes 
where did nikola tesla move to in 1880,budapest,budapest 
where was millard fillmore born,in a log cabin in summerhill new york,in a log cabin summerhill 
where is irving berlins piano located,in the smithsonian museum,in the smithsonian museum 
what are the three heaviest cats in the world,tiger lion and jaguar,tiger 
who were grover clevelands parents,cleveland was born in caldwell new jersey to the reverend richard cleveland and anne neal,cleveland was born in caldwell new jersey to the reverend richard cleveland and anne neal 
has the flute been dated to prehistoric times,yes,yes 
is there a way to approximate the age of a turtle,yes,adjacent 46 cymbals 
is kuala lumpur in the selangor state,yes,yes 
was pierreauguste renoir born in limoges hautevienne france the child of a working class family,yes,no 
was alessandro volta taught in public schools,yes,volta was taught in public schools 
what languages did tesla speak,serbian czech english french german hungarian italian and latin,serbian czech english french german smithsonian 2 
what is an otters den called,holt,a luthier 
when was the first factory opened,1836,1836 
what was the consitution act formerly called,british north america act,british north america 
what happened in 1745,the scale was reversed,the use of liquid paint in 1936 at an experimental workshop operated in new york city 
in belgium however is quatrevingts universally used,yes,two 
is portuguese an official language of several international organizations,yes,yes 
does it have a border with norway,yes,yes 
what happened in the january 15 1882,on january 15 1882 renoir met the composer richard wagner at his home in palermo sicily,on the shoulder 
when was he elected sheriff of erire county new york,yes,1870 
where do most people in urban saint petersburg live,apartments,sea otters have some 200000 hairs per square cm of skin he might have discussed his religious beliefs 
about how many koreans speakers are there,78 million,two 
is taipei in a valley,taipei is in the valleys of the keelung and xindian rivers,taipei is in greenock 
in what country did fox hunting originate,in the united kingdom,the united kingdom 
how many groups are turtles broken down into,two,two 
how many black keys do modern pianos have,36,36 
is the collective form octopus usually reserved for animals consumed for food,yes,yes 
was coulomb born in angoulãªme  france   to a well  to do  family,yes,yes 
do male giraffes have larger horns than female giraffes,yes,adjacent christianity scale reversed college adjacent sudan octopus species 
where does air pollution in beijing come from,surrounding cities and provinces,italy 
what is the biggest city in finland,the cities of the greater helsinki metropolitan area,the cities of scotland refers all wilson different water divisions sinitic 
when was the reunification of vietnam,the reunification of vietnam occurred in 197576,the city college of san francisco 
is it the smallest germanspeaking country in the world,yes,three 
where do sea turtles lay their eggs,holes dug into mud or sand,holes dug into mud or sand 
why is the giant panda an endangered species,threatened by habitat loss,is 
was arabic a major vehicle of culture in europe,yes,yes 
was gerald ford the 38th president of the united states,yes,no 
what are the names of uruguays political parties,partido blanco and partido colorado,partido colorado and partido blanco 
did he build the first practical reflecting telescope,yes,1874 
did old english develop into middle english,yes,wilson fathered 
did the us join the league of nations,no,no 
when did isaac newton discover the generalized binomial theorem,in 1665,is 
who was roosevelts presidential hero,lincoln was roosevelts presidential hero,lincoln was roosevelts presidential hero 
when was his house demolished,1874,1874 
is it widely considered the most secular nation in latin america,yes,its strategic location and excellent infrastructure 
what do most recognizable international company and largest employer have in common,they are hilti,they are hilti 
what is the second biggest factor affecting the sound produced by a drum,the tension at which the drum head is held against the shell of the drum,the tension at which the drum head is held against the shell of the drum 
is lima the capital  and  largest  city  of peru,yes,yes 
what is northern californias most widely circulated newspaper,san francisco chronicle,san francisco chronicle 
do singaporeans enjoy squid,yes they do,adjacent 46 cymbals 
how can a flutes volume be increased,a flutes volume can be increased by making its resonator and tone holes larger,a flutes volume can generally be increased by making its resonator and tone holes larger 
to whom was millard fillmore born to,to nathaniel and phoebe millard fillmore,to nathaniel and phoebe millard fillmore 
what do turles use to breathe in the water,papillae,their hind feet and an octopus has a hot inland areas and the cold southern 
where were immigrants from in the 1800s,ireland,irish 
is otter a kind of mammal,yes,yes 
what is antwerp,antwerp is a city and municipality in belgium,antwerp is in belgium 
what shares land borders with papua new guinea east timor and malaysia,indonesia,indonesia 
was gellu naum the leader of the surrealist movement in romania,yes,wilson adjacent december turtles wilson adjacent jaws cut 
who asked a nearby local what the creatures were called,captain james cook and naturalist sir joseph banks,captain james cook and naturalist sir joseph banks 
were the letters first annotated in 1913 by theos widow johanna van goghbonger,yes,yes 
how many countries in europe are bigger than romania,eleven,eleven 
did volta have a passion for the study of electricity,yes,229 
was adams the first to introduce a bicameral legislature,yes,yes 
why are sidenecked turtles called sidenecked turtles,the way they withdraw their heads into their shells,is 
are there a large number of jews living in egypt today,no,no 
what does a citizen use to propose changes to the constitution,plebiscite,referendum 
was ford interred at his presidential museum in grand rapids michigan,yes,yes 
what is the dominant religion in ghana,christian,christian 
what are the names of uruguays political parties,partido colorado and partido blanco,partido colorado and partido colorado 
by 2050 what will the total population of portuguese speakers in the world be,335 million people,by opening and closing holes larger than the cheetah 
is santiago spanish for st james,yes,gold occupation connecticut water zones after the october revolution 
in what year was nairobi founded,1899,is 
is james monrow the fifth president of us,yes,led waterresistant weights dominance michelangelo firth allowing clyde yes air lowest michelangelo pendle 33 wilson habitat loss and toxins in gold mining 
what are violins made of,different types of wood,brass tubing 
can turtles take many years to reach breeding age,yes,adjacent dates 433 conserves energy 
are there many words in malay that use natural gender,no,no 
what is amedeo avogadro,a person,a polar bears skin 
what is the weather like in summer,relatively warm,relatively warm 
did nikola tesla use a technique called picture thinking,yes,university of turin 
was ford the last surviving member of the warren commission,yes,yes 
what kind of piano did irving berlin play,transposing piano,transposing piano 
when did the first educational works appear for the cello,18th century,the 18th century 
who suggested lincoln grow a beard,11yearold grace bedell,grace bedell 
is the polar bear the mascot of bowdoin college,yes,1755 
what is the earliest extant transverse flute,it dates from 433 bc,chi taipei danshui adjacent caldwell smithsonian jersey reverend 
why do penguins tobaggan,it conserves energy while moving quickly,is 
how many children did grover cleveland have,5,is 
when was the first photgraph of lincoln taken,1846,1846 
how many different names did chinese writings give to the panda,20,20 
why did grant think that war was unjust,he accepted the theory that it was designed to gain land open to slavery,he accepted the surrender of all creation 
did vietnamese come to predominate politically in 2nd century bc,no chinese came to predominate politically in the 2nd century bc,no chinese came to predominate politically in the 2nd century bc 
is it true that he published a collection in 1738,no,francisco no 
did ford get an award called congressmans congressman,yes,war 
is romania a secular state,yes,yes 
where is finland located,northern europe,northern europe 
what was james watts fathers job,his father was a shipwright ship owner and contractor and served as the towns chief baillie,his date of birth was recorded as a mostly reclusive 
what is the best physician,time,blah 
what did ford receive on april 13 1942,ford received a commission as ensign in the us naval reserve,ford received a commission as ensign in 1504 
what happened in 1764,adams married abigail smith,adams married abigail wilson smith 
during what period was akhenaten a pharaoh,the new kingdom,the new kingdom 
what is monroe doctrine,a doctrine declaring us opposition to european interference in the americas,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states venezuela and 
where was the oldest flute ever discovered found,various parts of germany,various parts of germany 
when did volta retire,1819,park 
how many years ago was it when volta married the daughter of count ludovico peregrini  teresa  with whom he raised three sons,215,215 
did faraday discover diamagnetism,yes faraday discovered diamagnetism,yes faraday discovered diamagnetism 
what method of locomotion do kangaroos use,hopping,hopping 
are kangaroos shy,yes,yes 
is it true that indonesia has vast areas of wilderness,yes,accidentally 16701672 
when was woodrow wilson born,december 28 1856,woodrow wilson was born in staunton virginia 
how do turtles chew food,turtles use their jaws to cut and chew food,is 
why is the watt named after watt,the watt is named after james watt for his contributions to the development of the steam engine,is 
is berlin the capital city of germany,yes,berlin is the capital city of germany 
